region,Low,Moderate,High
Tabora,0.5379419085577469,27.480416858286148,71.9816412331561
Dar  Es Salaam,1.164011388329989,31.347799289123884,67.48818932254612
Dodoma,7.69567605085118,30.72252340300834,61.581800546140485
Lindi,4.121347668375363,38.69234669520101,57.186305636423626
Shinyanga,2.2565877722248073,45.59956098781439,52.143851239960796
Pwani,4.497172132914481,45.038788845019376,50.464039022066146
Singida,2.41392998497894,50.53869768087015,47.047372334150914
Tanga,14.51995490312347,40.8825768268396,44.59746827003693
Morogoro,18.08885331878561,43.4871485084163,38.42399817279809
Kilimanjaro,31.71601700922706,30.08047442080247,38.20350856997047
Arusha,23.317666271586063,39.65918908089995,37.023144647513995
Ruvuma,13.47365646252503,49.709682402549134,36.81666113492583
Manyara,15.003428504944944,51.64641526304054,33.35015623201453
Iringa,25.76039307664751,41.82873273822508,32.410874185127426
Simiyu,12.789195213099783,55.74288820774943,31.467916579150796
Mwanza,14.164919698925898,57.05253593699481,28.7825443640793
Katavi,19.836781636429,52.85654342150512,27.30667494206588
Mtwara,3.012479347473291,69.76157413756046,27.22594651496626
Songwe,10.198326498827356,62.69433281916448,27.107340682008175
Mbeya,21.436852733569786,51.62367242769446,26.939474838735755
Rukwa,10.279481927268435,66.76253085861606,22.957987214115498
Njombe,52.17032526932668,38.84811008748677,8.981564643186545
Geita,31.857369642197035,59.183442473706315,8.959187884096648
Mara,36.97899016907025,56.64934603279595,6.371663798133806
Kigoma,43.277897968271915,51.523457096341694,5.198644935386393
Kagera,78.68090968178552,17.82457771068612,3.4945126075283515
